회사명,거래소코드,회계년도,종가(원),보통주(천원),시총,상장협 산업분류(대분류),상장협 산업분류(중분류),상장협 산업분류(소분류)
(주)그래디언트,35080,12-20,2150,81189163,1.74557E+11,도매 및 소매업,  소매업; 자동차 제외,    무점포 소매업
(주)그리티,204020,12-10,,1814400,0,제조업,"  의복, 의복 액세서리 및 모피제품 제조업",    봉제의복 제조업
(주)그리티,204020,12-11,,3991680,0,제조업,"  의복, 의복 액세서리 및 모피제품 제조업",    봉제의복 제조업
(주)그리티,204020,12-12,,3991680,0,제조업,"  의복, 의복 액세서리 및 모피제품 제조업",    봉제의복 제조업
(주)그리티,204020,12-13,,3991680,0,제조업,"  의복, 의복 액세서리 및 모피제품 제조업",    봉제의복 제조업
(주)그리티,204020,12-14,,4311014,0,제조업,"  의복, 의복 액세서리 및 모피제품 제조업",    봉제의복 제조업
(주)그리티,204020,12-15,,4311014,0,제조업,"  의복, 의복 액세서리 및 모피제품 제조업",    봉제의복 제조업
(주)그리티,204020,12-16,,8622028,0,제조업,"  의복, 의복 액세서리 및 모피제품 제조업",    봉제의복 제조업
(주)그리티,204020,12-17,,8622028,0,제조업,"  의복, 의복 액세서리 및 모피제품 제조업",    봉제의복 제조업
(주)그리티,204020,12-18,7190,10073715,72430010850,제조업,"  의복, 의복 액세서리 및 모피제품 제조업",    봉제의복 제조업
(주)그리티,204020,12-19,2790,20147430,56211329700,제조업,"  의복, 의복 액세서리 및 모피제품 제조업",    봉제의복 제조업
(주)그리티,204020,12-20,2995,20147430,60341552850,제조업,"  의복, 의복 액세서리 및 모피제품 제조업",    봉제의복 제조업
(주)그린플러스,186230,12-10,,2000000,0,제조업,  1차 금속 제조업,    1차 비철금속 제조업
(주)그린플러스,186230,12-11,,2000000,0,제조업,  1차 금속 제조업,    1차 비철금속 제조업
(주)그린플러스,186230,12-12,,2000000,0,제조업,  1차 금속 제조업,    1차 비철금속 제조업
(주)그린플러스,186230,12-13,,2357500,0,제조업,  1차 금속 제조업,    1차 비철금속 제조업
(주)그린플러스,186230,12-14,,2357500,0,제조업,  1차 금속 제조업,    1차 비철금속 제조업
(주)그린플러스,186230,12-15,,2466273,0,제조업,  1차 금속 제조업,    1차 비철금속 제조업
(주)그린플러스,186230,12-16,,2581140,0,제조업,  1차 금속 제조업,    1차 비철금속 제조업
(주)그린플러스,186230,12-17,,2581140,0,제조업,  1차 금속 제조업,    1차 비철금속 제조업
(주)그린플러스,186230,12-18,,2814304,0,제조업,  1차 금속 제조업,    1차 비철금속 제조업
(주)그린플러스,186230,12-19,11200,4823871,54027355200,제조업,  1차 금속 제조업,    1차 비철금속 제조업
(주)그린플러스,186230,12-20,12800,9607742,1.22979E+11,제조업,  1차 금속 제조업,    1차 비철금속 제조업
(주)글로벌스탠다드테크놀로지,83450,12-10,3025,7520000,22748000000,제조업,  기타 기계 및 장비 제조업,    특수 목적용 기계 제조업
(주)글로벌스탠다드테크놀로지,83450,12-11,3570,7520000,26846400000,제조업,  기타 기계 및 장비 제조업,    특수 목적용 기계 제조업
(주)글로벌스탠다드테크놀로지,83450,12-12,4160,8418874,35022515840,제조업,  기타 기계 및 장비 제조업,    특수 목적용 기계 제조업
(주)글로벌스탠다드테크놀로지,83450,12-13,5410,8913253,48220698730,제조업,  기타 기계 및 장비 제조업,    특수 목적용 기계 제조업
(주)글로벌스탠다드테크놀로지,83450,12-14,5610,9317745,52272549450,제조업,  기타 기계 및 장비 제조업,    특수 목적용 기계 제조업
(주)글로벌스탠다드테크놀로지,83450,12-15,5850,9317745,54508808250,제조업,  기타 기계 및 장비 제조업,    특수 목적용 기계 제조업
(주)글로벌스탠다드테크놀로지,83450,12-16,5490,9317745,51154420050,제조업,  기타 기계 및 장비 제조업,    특수 목적용 기계 제조업
(주)글로벌스탠다드테크놀로지,83450,12-17,12350,9317745,1.15074E+11,제조업,  기타 기계 및 장비 제조업,    특수 목적용 기계 제조업
(주)글로벌스탠다드테크놀로지,83450,12-18,4440,9317745,41370787800,제조업,  기타 기계 및 장비 제조업,    특수 목적용 기계 제조업
(주)글로벌스탠다드테크놀로지,83450,12-19,10200,9317745,95040999000,제조업,  기타 기계 및 장비 제조업,    특수 목적용 기계 제조업
(주)글로벌스탠다드테크놀로지,83450,12-20,17200,9317745,1.60265E+11,제조업,  기타 기계 및 장비 제조업,    특수 목적용 기계 제조업
(주)금화피에스시,36190,12-10,12100,6000000,72600000000,건설업,  전문직별 공사업,    전기 및 통신 공사업
(주)금화피에스시,36190,12-11,11150,6000000,66900000000,건설업,  전문직별 공사업,    전기 및 통신 공사업
