회사명,거래소코드,회계년도,종가(원),발행주식의 총수 (현재 발행한 주식수 - 현재 감소한 주식수)(주),시총
(주)에프알텍,73540,12-21,3445,11400000,39273000000
(주)에프알텍,73540,12-21,3445,0,0
(주)에프앤가이드,64850,12-21,10250,12080000,1.2382E+11
(주)에프앤가이드,64850,12-21,10250,12080000,1.2382E+11
(주)에프앤리퍼블릭,64090,12-21,2200,10989409,24176699800
(주)에프앤리퍼블릭,64090,12-21,2200,10989409,24176699800
(주)에프에스엔,214270,12-21,13800,27867828,3.84576E+11
(주)에프에스엔,214270,12-21,13800,27867828,3.84576E+11
(주)에프에스티,36810,12-21,25350,21756789,5.51535E+11
(주)에프에스티,36810,12-21,25350,21756789,5.51535E+11
(주)에프엔씨엔터테인먼트,173940,12-21,8150,14364880,1.17074E+11
(주)에프엔씨엔터테인먼트,173940,12-21,8150,0,0
(주)에프엔씨엔터테인먼트,173940,12-21,8150,14364880,1.17074E+11
(주)엑사이엔씨,54940,12-21,1360,33173548,45116025280
(주)엑사이엔씨,54940,12-21,1360,33173548,45116025280
(주)엑세스바이오인코퍼레이션,950130,12-21,16000,36315527,5.81048E+11
(주)엑세스바이오인코퍼레이션,950130,12-21,16000,36315527,5.81048E+11
(주)엑세스바이오인코퍼레이션,950130,12-21,16000,0,0
(주)엑셈,205100,12-21,4280,35132273,1.50366E+11
(주)엑셈,205100,12-21,4280,35132273,1.50366E+11
(주)엑시콘,92870,12-21,15100,10476127,1.5819E+11
(주)엑시콘,92870,12-21,15100,10736996,1.62129E+11
(주)엑시콘,92870,12-21,15100,260869,3939121900
(주)엔바이오니아,317870,12-21,11550,7683055,88739285250
(주)엔바이오니아,317870,12-21,11550,0,0
(주)엔바이오니아,317870,12-21,11550,7683055,88739285250
(주)엔비티,236810,12-21,28650,8487713,2.43173E+11
(주)엔비티,236810,12-21,28650,8487713,2.43173E+11
(주)엔시스,333620,12-21,20350,10556344,2.14822E+11
(주)엔시스,333620,12-21,20350,10556344,2.14822E+11
(주)엔에스,217820,12-21,9920,11513237,1.14211E+11
(주)엔에스,217820,12-21,9920,11513237,1.14211E+11
(주)엔에스,217820,12-21,9920,0,0
(주)엔에스엔,31860,12-21,1030,57693009,59423799270
(주)엔에스엔,31860,12-21,1030,57693009,59423799270
(주)엔에이치엔벅스,104200,12-21,19100,0,0
(주)엔에이치엔벅스,104200,12-21,19100,14827550,2.83206E+11
(주)엔에이치엔벅스,104200,12-21,19100,14827550,2.83206E+11
(주)엔에프씨,265740,12-21,13600,8931800,1.21472E+11
(주)엔에프씨,265740,12-21,13600,0,0
(주)엔에프씨,265740,12-21,13600,8931800,1.21472E+11
(주)엔이능률,53290,12-21,11400,16526307,1.884E+11
(주)엔이능률,53290,12-21,11400,16526307,1.884E+11
(주)엔젠바이오,354200,12-21,16200,12430912,2.01381E+11
(주)엔젠바이오,354200,12-21,16200,12430912,2.01381E+11
(주)엔젠바이오,354200,12-21,16200,0,0
(주)엔지스테크널러지,208860,12-21,2205,11443863,25233717915
(주)엔지스테크널러지,208860,12-21,2205,11443863,25233717915
(주)엔지켐생명과학,183490,12-21,54900,379137,20814621300
(주)엔지켐생명과학,183490,12-21,54900,8331345,4.57391E+11
(주)엔지켐생명과학,183490,12-21,54900,8710482,4.78205E+11
(주)엔케이맥스,182400,12-21,22450,39018798,8.75972E+11
(주)엔케이맥스,182400,12-21,22450,1029943,23122220350
(주)엔케이맥스,182400,12-21,22450,37988855,8.5285E+11
(주)엔켐,348370,12-21,99700,15195692,1.51501E+12
(주)엔켐,348370,12-21,99700,15195692,1.51501E+12
(주)엔텔스,69410,12-21,10750,10244824,1.10132E+11
(주)엔텔스,69410,12-21,10750,0,0
